Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error
,,,,2.1433187120529933,1.1521649639999614
,,,,1.8511654587708506,1.1530770293060073
,,,,1.5886334765004646,1.1538775062506959
,,,,1.3559361285393372,1.1545860192233988
,,,,1.1530872866483186,1.155217726447868
,,,,0.9799351040270086,1.1557846145638897
,,,,0.8361892527010806,1.1562963520658935
,,,,0.7214417153577468,1.1567608461129197
,,,,0.6351868677113153,1.157184622458387
,,,,0.5768427823785167,1.1575730853035289
,,,,0.5457648777790558,1.157930737063972
,,,,0.5412609067827008,1.158261331099806
,,,,-0.5103134549002082,0.04496967973686754
,,,,-0.25300936718272826,0.022760030456346603
,,,,0.0,0.0
,,,,0.24844629332142443,0.023243903310024724
,,,,0.4921501748460857,0.04687191491675434
,,,,0.7310177037094796,0.07075585314725773
,,,,0.9650850792726287,0.09473728730563663
,,,,1.1945051334364511,0.11863555610444107
,,,,1.4195540454412274,0.14225655757730274
,,,,1.640632216697877,0.1654057983504905
,,,,1.8582369822526426,0.18789582364896376
,,,,2.0729574093269583,0.20956300864203123
,,,,2.285437513360839,0.23027045028506643
,,,,2.4963458438775024,0.24991787569495072
,,,,2.7063613637031256,0.26843913349067255
,,,,2.9161265887280137,0.285804220627377
,,,,3.126242805531338,0.3020125859947631
,,,,3.337235401621993,0.31709298901083416
,,,,3.549543510711862,0.33109316034654607
,,,,3.763500387961842,0.34408034435637996
,,,,3.9793206622760176,0.3561335104822535
,,,,4.197087783452697,0.3673427208791903
,,,,4.416746752083427,0.3778074053056398
,,,,4.638081212212248,0.3876380258111961
,,,,4.8607199823858185,0.3969582522193794
,,,,5.084121477542695,0.40591188819853974
,,,,5.307585478015913,0.4146695474678637
,,,,5.530263644330938,0.42343957229205104
,,,,5.75119444184065,0.4324710319421129
,,,,5.969348693495742,0.44205578495791764
,,,,6.183698019139537,0.4525103615275814
,,,,6.393290893267364,0.46414251794924566
,,,,6.597342923244411,0.4771993608861519
,,,,6.795300360890384,0.4918110117108241
,,,,6.986893907693241,0.5079455920098409
,,,,7.172156432026447,0.5253978945481236
,,,,7.351391710257087,0.5438176474203529
,,,,7.525120789487355,0.562769221966484
,,,,7.694003325501706,0.5818040368619624
,,,,7.85874333760473,0.6005264675925253
,,,,8.02001483977419,0.6186372460994677
,,,,8.178385912582803,0.635954862737336
,,,,8.33427576935634,0.6524148038633287
,,,,8.487919191623194,0.6680571252779643
,,,,8.639357519683655,0.6830057005463549
,,,,8.788437204713246,0.6974467335624484
,,,,8.934815447604239,0.7116065565404236
,,,,9.07797991807056,0.7257287602767137
,,,,9.217269025899624,0.7400556495812132
,,,,9.351903574300996,0.7548080125176664
,,,,9.48102915881712,0.7701690904741942
,,,,9.603753187200889,0.7862716206289997
,,,,9.719194437542521,0.8031894407199311
,,,,9.826514544955439,0.8209337766715397
,,,,9.924936951932017,0.8394524286638017
,,,,10.013737388594167,0.8586311147655945
,,,,10.09220594456241,0.8782987864230984
,,,,10.15958809716784,0.8982338328784225
,,,,10.215028968645166,0.91817436208657
,,,,10.257534761993481,0.9378325886523994
,,,,10.285968031454347,0.9569105884754614
,,,,10.299078154728614,0.9751175439665051
,,,,10.295527636080463,0.992185913763047
,,,,10.273894811553498,1.0078867823091338
,,,,10.232593230023467,1.0220401455094619
,,,,10.169729625148653,1.034522997806384
,,,,10.083000147450177,1.045274330614013
,,,,9.969719679979287,1.0543029445095575
,,,,9.82711440769514,1.0616996478801553
,,,,9.652842263244553,1.0676471479222986
,,,,9.445493193429018,1.0724174620351987
,,,,9.204738144566184,1.076353087382465
,,,,8.930972336809416,1.079843279986824
,,,,8.624613984011331,1.0833066592597342
,,,,8.28560400469694,1.08716787906473
,,,,7.913617564540781,1.0917926896963233
,,,,7.509056580904401,1.097362830954273
,,,,7.074315397917294,1.1037509172255957
,,,,6.614513286650486,1.1105216682951937
,,,,6.137123848361342,1.1171085224338528
,,,,5.650808554993181,1.1230443529702896
,,,,5.1640878534517105,1.1280886760864093
,,,,4.684433947395016,1.1322149048141816
,,,,4.217919203096364,1.1355268552874902
,,,,3.769248538519573,1.138176643828587
,,,,3.341962641634467,1.1403135176766814
,,,,2.9387129732261075,1.1420616714815461
,,,,2.5614614727680225,1.1435160754756981
,,,,2.2116481031470743,1.1447461605062395
,,,,1.890309344870265,1.1458018074514456
,,,,1.5981560915881223,1.14671893382957
,,,,1.3356241093177363,1.147523845992513
,,,,1.102926761356609,1.1482362794635537
,,,,0.9000779194655903,1.1488714780990876
,,,,0.7269257368442803,1.1494414960983532
,,,,0.5831798855183523,1.1499560563304707
,,,,0.46843234817501855,1.1504231103338125
,,,,0.382177500528587,1.150849220421342
,,,,0.32383341519578845,1.151239821023137
,,,,0.29275551059632754,1.151599439704522
,,,,0.2882515395999725,1.1519318507669412
,,,,-0.7587597482216326,0.06807287572559212
,,,,-0.5014556605041527,0.04595660707876519
,,,,-0.24844629332142443,0.023243903310024724
,,,,0.0,0.0
,,,,0.24370388152466127,0.023675205615899902
,,,,0.4825714103880552,0.04765181237992226
,,,,0.7166387859512042,0.07176840557598244
,,,,0.9460588401150267,0.095840139913916
